ID_Transaccion,Fecha,ID_Producto,Nombre_Producto,Categoria,Cantidad,Precio_Unitario,Total_Venta,Pais,Metodo_Pago
T1001,2024-01-05,P201,Audifonos Bluetooth,Audio,2,45.00,90.00,México,Tarjeta
T1002,2024-01-08,P205,Mouse Inalambrico,Periférico,1,25.50,25.50,Chile,PayPal
T1003,2024-01-12,P201,Audifonos Bluetooth,Audio,3,45.00,135.00,Colombia,Tarjeta
T1004,2024-01-15,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Perú,Tarjeta
T1005,2024-01-20,P202,Smartwatch,Wearable,1,120.00,120.00,Argentina,Tarjeta
T1006,2024-02-01,P204,Webcam HD,Periférico,2,60.00,120.00,México,PayPal
T1007,2024-02-03,P206,Cargador Rapido,Accesorio,4,15.00,60.00,Colombia,Transferencia
T1008,2024-02-10,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Chile,Tarjeta
T1009,2024-02-14,P202,Smartwatch,Wearable,2,120.00,240.00,Argentina,Tarjeta
T1010,2024-02-28,P205,Mouse Inalambrico,Periférico,3,25.50,76.50,México,PayPal
T1011,2024-03-05,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Colombia,Tarjeta
T1012,2024-03-10,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,Transferencia
T1013,2024-03-18,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1014,2024-03-25,P201,Audifonos Bluetooth,Audio,2,45.00,90.00,Argentina,Tarjeta
T1015,2024-03-30,P202,Smartwatch,Wearable,1,120.00,120.00,México,PayPal
T1016,2024-04-01,P205,Mouse Inalambrico,Periférico,1,25.50,25.50,Colombia,Tarjeta
T1017,2024-04-08,P203,Teclado Mecánico,Periférico,2,85.00,170.00,Chile,PayPal
T1018,2024-04-15,P204,Webcam HD,Periférico,1,60.00,60.00,Perú,Transferencia
T1019,2024-04-20,P206,Cargador Rapido,Accesorio,3,15.00,45.00,Argentina,Tarjeta
T1020,2024-04-25,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,México,Tarjeta
T1021,2024-05-01,P205,Mouse Inalambrico,Periférico,2,25.50,51.00,México,PayPal
T1022,2024-05-08,P203,Teclado Mecánico,Periférico,3,85.00,255.00,Colombia,Tarjeta
T1023,2024-05-15,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,Transferencia
T1024,2024-05-20,P206,Cargador Rapido,Accesorio,4,15.00,60.00,Perú,Tarjeta
T1025,2024-05-25,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,Tarjeta
T1026,2024-06-01,P202,Smartwatch,Wearable,2,120.00,240.00,México,PayPal
T1027,2024-06-08,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Colombia,Transferencia
T1028,2024-06-15,P204,Webcam HD,Periférico,2,60.00,120.00,Chile,Tarjeta
T1029,2024-06-20,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1030,2024-06-25,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,PayPal
T1031,2024-07-01,P205,Mouse Inalambrico,Periférico,1,25.50,25.50,México,Tarjeta
T1032,2024-07-08,P203,Teclado Mecánico,Periférico,2,85.00,170.00,Colombia,PayPal
T1033,2024-07-15,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,Transferencia
T1034,2024-07-20,P206,Cargador Rapido,Accesorio,3,15.00,45.00,Perú,Tarjeta
T1035,2024-07-25,P201,Audifonos Bluetooth,Audio,2,45.00,90.00,Argentina,Tarjeta
T1036,2024-08-01,P202,Smartwatch,Wearable,1,120.00,120.00,México,PayPal
T1037,2024-08-08,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Colombia,Transferencia
T1038,2024-08-15,P204,Webcam HD,Periférico,2,60.00,120.00,Chile,Tarjeta
T1039,2024-08-20,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1040,2024-08-25,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,PayPal
T1041,2024-09-01,P205,Mouse Inalambrico,Periférico,2,25.50,51.00,México,Tarjeta
T1042,2024-09-08,P203,Teclado Mecánico,Periférico,3,85.00,255.00,Colombia,PayPal
T1043,2024-09-15,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,Transferencia
T1044,2024-09-20,P206,Cargador Rapido,Accesorio,4,15.00,60.00,Perú,Tarjeta
T1045,2024-09-25,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,Tarjeta
T1046,2024-10-01,P202,Smartwatch,Wearable,2,120.00,240.00,México,PayPal
T1047,2024-10-08,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Colombia,Transferencia
T1048,2024-10-15,P204,Webcam HD,Periférico,2,60.00,120.00,Chile,Tarjeta
T1049,2024-10-20,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1050,2024-10-25,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,PayPal
T1051,2024-11-01,P205,Mouse Inalambrico,Periférico,1,25.50,25.50,México,Tarjeta
T1052,2024-11-08,P203,Teclado Mecánico,Periférico,2,85.00,170.00,Colombia,PayPal
T1053,2024-11-15,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,Transferencia
T1054,2024-11-20,P206,Cargador Rapido,Accesorio,3,15.00,45.00,Perú,Tarjeta
T1055,2024-11-25,P201,Audifonos Bluetooth,Audio,2,45.00,90.00,Argentina,Tarjeta
T1056,2024-12-01,P202,Smartwatch,Wearable,1,120.00,120.00,México,PayPal
T1057,2024-12-08,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Colombia,Transferencia
T1058,2024-12-15,P204,Webcam HD,Periférico,2,60.00,120.00,Chile,Tarjeta
T1059,2024-12-20,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1060,2024-12-25,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,PayPal
T1061,2024-01-07,P202,Smartwatch,Wearable,1,120.00,120.00,México,Tarjeta
T1062,2024-01-14,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,PayPal
T1063,2024-01-21,P206,Cargador Rapido,Accesorio,3,15.00,45.00,Colombia,Transferencia
T1064,2024-01-28,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Perú,Tarjeta
T1065,2024-02-05,P201,Audifonos Bluetooth,Audio,2,45.00,90.00,Argentina,Tarjeta
T1066,2024-02-12,P205,Mouse Inalambrico,Periférico,1,25.50,25.50,México,PayPal
T1067,2024-02-19,P202,Smartwatch,Wearable,1,120.00,120.00,Colombia,Tarjeta
T1068,2024-02-26,P204,Webcam HD,Periférico,2,60.00,120.00,Chile,Transferencia
T1069,2024-03-03,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1070,2024-03-10,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,PayPal
T1071,2024-03-17,P205,Mouse Inalambrico,Periférico,2,25.50,51.00,México,Tarjeta
T1072,2024-03-24,P203,Teclado Mecánico,Periférico,3,85.00,255.00,Colombia,PayPal
T1073,2024-03-31,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,Transferencia
T1074,2024-04-07,P206,Cargador Rapido,Accesorio,4,15.00,60.00,Perú,Tarjeta
T1075,2024-04-14,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,Tarjeta
T1076,2024-04-21,P202,Smartwatch,Wearable,2,120.00,240.00,México,PayPal
T1077,2024-04-28,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Colombia,Transferencia
T1078,2024-05-05,P204,Webcam HD,Periférico,2,60.00,120.00,Chile,Tarjeta
T1079,2024-05-12,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1080,2024-05-19,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,PayPal
T1081,2024-05-26,P205,Mouse Inalambrico,Periférico,1,25.50,25.50,México,Tarjeta
T1082,2024-06-02,P203,Teclado Mecánico,Periférico,2,85.00,170.00,Colombia,PayPal
T1083,2024-06-09,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,Transferencia
T1084,2024-06-16,P206,Cargador Rapido,Accesorio,3,15.00,45.00,Perú,Tarjeta
T1085,2024-06-23,P201,Audifonos Bluetooth,Audio,2,45.00,90.00,Argentina,Tarjeta
T1086,2024-06-30,P202,Smartwatch,Wearable,1,120.00,120.00,México,PayPal
T1087,2024-07-07,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Colombia,Transferencia
T1088,2024-07-14,P204,Webcam HD,Periférico,2,60.00,120.00,Chile,Tarjeta
T1089,2024-07-21,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1090,2024-07-28,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,PayPal
T1091,2024-08-04,P205,Mouse Inalambrico,Periférico,2,25.50,51.00,México,Tarjeta
T1092,2024-08-11,P203,Teclado Mecánico,Periférico,3,85.00,255.00,Colombia,PayPal
T1093,2024-08-18,P204,Webcam HD,Periférico,1,60.00,60.00,Chile,Transferencia
T1094,2024-08-25,P206,Cargador Rapido,Accesorio,4,15.00,60.00,Perú,Tarjeta
T1095,2024-09-01,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,Tarjeta
T1096,2024-09-08,P202,Smartwatch,Wearable,2,120.00,240.00,México,PayPal
T1097,2024-09-15,P203,Teclado Mecánico,Periférico,1,85.00,85.00,Colombia,Transferencia
T1098,2024-09-22,P204,Webcam HD,Periférico,2,60.00,120.00,Chile,Tarjeta
T1099,2024-09-29,P206,Cargador Rapido,Accesorio,5,15.00,75.00,Perú,Tarjeta
T1100,2024-10-06,P201,Audifonos Bluetooth,Audio,1,45.00,45.00,Argentina,PayPal
